Room_Name,UE_RNTI,RSRP_Serving_Cell,RSRQ_Serving_Cell,UE_Power_Headroom,Pusch_SNR,Total_BLER,USR_UE_Power_Headroom,Estimated UE power,SNR,timing offset,dl cqi,ul cqi,spatial power 1,spatial power 2,channel est ofdm 1,channel est ofdm 2,UCI low,UCI high
0,UE_rnti31051,-83,-4,22,10,72,27,8,10,-6,15,165,34,0,2031633,327646,71,71
0,UE_rnti31051,-81,-4,23,18,68,22,8,18,-2,15,165,31,0,2949122,-131088,77,88
0,UE_rnti31051,-81,-4,22,19,65,21,8,19,-9,15,169,34,0,2424835,-327697,155,131
0,UE_rnti31051,-81,-4,20,20,63,20,8,21,-6,15,170,32,0,2097162,-65545,123,180
0,UE_rnti31051,-86,-4,25,17,62,25,8,20,-13,15,139,24,0,3014673,131060,1532,1363
0,UE_rnti31051,-86,-4,25,25,67,25,8,25,1,13,111,19,0,2097162,-65556,70,45
0,UE_rnti31051,-86,-4,25,25,67,25,8,25,1,13,111,19,0,2228233,-131090,70,45
0,UE_rnti31051,-86,-4,25,25,67,25,8,25,1,13,111,19,0,2424834,-131087,70,45
0,UE_rnti31051,-86,-4,25,25,67,25,8,25,1,13,111,19,0,2686995,-131090,70,45
0,UE_rnti31051,-86,-4,25,25,67,25,8,25,1,13,111,19,0,2883591,-589840,70,45
0,UE_rnti31051,-86,-4,25,25,67,25,8,25,1,13,111,19,0,2555908,262131,70,45
0,UE_rnti31051,-86,-4,25,25,67,25,8,25,1,13,111,19,0,2359312,131054,70,45
0,UE_rnti26339,0,0,20,20,77,19,8,20,0,15,172,31,0,3014661,-131092,70,45
0,UE_rnti54271,-96,-4,17,20,28,17,8,20,1,13,168,42,0,3801091,-65548,70,45
0,UE_rnti54271,-79,-4,35,21,42,27,8,21,1,15,168,38,0,2752523,196591,70,45
0,UE_rnti42827,-101,-4,8,22,41,10,8,22,1,13,140,30,0,2949136,589822,1323,1481
0,UE_rnti42827,-80,-4,30,5,51,30,8,5,1,15,169,32,0,3801115,1572852,212,275
0,UE_rnti42827,-82,-4,33,20,47,33,8,20,7,15,144,30,0,2162693,-589823,702,731
0,UE_rnti34137,-82,-4,35,20,76,33,8,19,7,15,170,31,0,2555911,-131087,702,731
0,UE_rnti8683,-82,-4,20,22,50,23,8,22,7,15,168,36,0,1703941,327667,702,731
0,UE_rnti8683,-82,-4,18,25,84,18,8,25,7,15,114,19,0,2490380,-131093,702,731
0,UE_rnti8683,-82,-4,18,25,84,18,8,25,7,15,114,19,0,2490376,65518,399,499
0,UE_rnti8127,-96,-4,21,20,73,22,8,21,0,12,116,23,0,1900553,65514,3861,4079
0,UE_rnti8127,-96,-4,22,18,86,22,8,18,0,1,117,23,0,2490372,-131085,3861,4079
0,UE_rnti29167,-82,-4,18,25,84,17,8,25,7,14,168,45,0,1835010,-1,399,499
0,UE_rnti21606,-82,-4,27,20,75,24,8,20,7,15,166,34,0,3538954,393194,42218,42151
0,UE_rnti29530,-82,-4,18,21,43,18,8,21,-5,15,170,34,0,2555913,-65557,42218,42151
0,UE_rnti29530,-80,-4,15,18,44,15,8,18,4,15,117,34,0,2555913,-65557,1557,1424
0,UE_rnti33115,-80,-4,25,2,85,15,8,2,4,15,105,34,0,1835009,-131092,1557,1424
0,UE_rnti33115,-80,-4,25,2,95,15,8,2,4,15,105,34,0,1835009,-131092,91,70
0,UE_rnti33115,-80,-4,25,2,97,15,8,2,4,6,104,34,0,1835009,-131092,91,70
0,UE_rnti24816,-84,-4,19,18,71,18,8,18,0,15,169,19,0,3211267,131053,3861,4079
0,UE_rnti24816,-77,-4,8,18,43,25,8,22,0,15,170,19,0,3211267,131053,3861,4079
0,UE_rnti24816,-87,-4,23,19,48,20,8,19,0,10,167,19,0,3211267,131053,3861,4079
0,UE_rnti24816,-87,-4,20,18,61,20,8,18,0,12,105,19,0,3211267,131053,3861,4079
0,UE_rnti59832,-86,-4,18,23,47,15,8,19,1,11,169,32,0,2097154,65516,80,82
0,UE_rnti59832,-95,-4,18,19,60,15,8,19,10,9,113,19,0,2883591,65522,56,82
0,UE_rnti59832,-95,-4,18,19,60,15,8,19,10,9,113,19,0,2818051,-458775,56,82
0,UE_rnti38109,-87,-4,20,18,80,19,8,22,0,10,169,32,0,2818059,-16,3861,4079
0,UE_rnti38109,-88,-4,19,26,63,12,8,26,0,11,126,32,0,2621452,-393213,3861,4079
0,UE_rnti38109,-88,-4,12,2,72,12,8,2,0,13,136,32,0,3407873,-196635,3861,4079
0,UE_rnti38109,-88,-4,12,2,72,12,8,2,0,13,136,32,0,2162698,131066,3861,4079
0,UE_rnti37038,-97,-4,20,23,56,21,8,23,10,15,163,27,0,3145730,-262166,374,317
0,UE_rnti37038,-86,-4,22,17,55,25,8,17,10,12,166,36,0,2424823,-393232,374,317
0,UE_rnti37038,-86,-4,24,19,61,24,8,19,10,13,165,36,0,2883594,-131090,374,317
0,UE_rnti37038,-86,-4,24,17,70,24,8,17,10,13,117,19,0,2031632,-196624,374,317
0,UE_rnti37038,-86,-4,24,17,70,24,8,17,10,13,117,19,0,2490388,-196624,374,317
0,UE_rnti37038,-86,-4,24,17,70,24,8,17,10,13,117,19,0,2555908,-16,374,317
0,UE_rnti37038,-86,-4,24,17,70,24,8,17,10,13,117,19,0,3276808,-22,374,317
0,UE_rnti37038,-86,-4,24,17,70,24,8,17,10,13,117,19,0,2621446,196587,374,317
0,UE_rnti1731,-75,-4,37,19,39,37,8,19,17,15,166,31,0,2293782,1310718,126,163
0,UE_rnti1731,-75,-4,40,19,39,41,8,19,4,15,168,32,0,2162704,1048572,126,163
0,UE_rnti1731,-75,-4,40,20,40,42,8,20,8,15,168,30,0,1638424,917508,187,175
0,UE_rnti57928,-75,-4,18,31,45,28,8,31,8,15,116,19,0,1900553,196593,22235,23318
0,UE_rnti20727,-71,-4,19,19,13,24,8,19,8,15,117,19,0,1900557,655364,2352,2352
0,UE_rnti4879,-77,-4,14,24,26,23,8,24,8,15,110,19,0,2686991,851962,575,588
0,UE_rnti52052,-85,-4,21,19,19,23,8,19,8,15,165,32,0,3670028,917501,308,234
0,UE_rnti52052,-77,-4,28,23,24,36,27,15,9,15,172,32,0,3604469,458699,37,63
0,UE_rnti52052,-75,-4,38,20,25,39,8,19,15,15,169,31,0,1966090,-1179648,37,63
0,UE_rnti52052,-75,-4,38,20,30,40,8,20,8,15,169,32,0,4390904,1572841,392,416
0,UE_rnti52052,-74,-4,40,19,30,40,8,20,13,15,166,33,0,5177357,1835008,521,525
0,UE_rnti52052,-74,-4,39,20,33,40,8,20,17,15,162,34,0,4718623,2293757,278,278
0,UE_rnti52052,-73,-4,40,19,33,38,8,19,8,15,168,34,0,4653104,983054,307,313
0,UE_rnti52052,-73,-4,39,19,34,39,8,20,8,15,166,34,0,2424803,-852028,384,462
0,UE_rnti52052,-73,-4,39,21,36,39,8,20,11,15,169,35,0,5505028,3276773,266,293
0,UE_rnti52052,-73,-4,39,20,37,39,8,20,9,15,169,19,0,2818057,-131090,523,500
0,UE_rnti52052,-73,-4,39,20,38,39,8,20,10,15,170,36,0,5505037,3211265,503,400
0,UE_rnti52052,-73,-4,39,20,39,39,8,20,10,15,169,35,0,1441774,-983102,144,120
