2023-08-30T18:54:15.679444 [ENB    ] [I] Using binary /usr/local/bin/srsenb with arguments: 
2023-08-30T18:54:15.704296 [ENB    ] [I] Built in Release mode using commit fa56836b1 on branch HEAD.
2023-08-30T18:54:15.737652 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:2152
2023-08-30T18:54:15.737659 [COMN   ] [D] [    0] RxSockets: socket fd=6 has been registered.
2023-08-30T18:54:15.737659 [COMN   ] [D] [    0] Opened SCTP socket=7
2023-08-30T18:54:15.737663 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2023-08-30T18:54:15.737664 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2023-08-30T18:54:15.737671 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2023-08-30T18:54:15.738903 [COMN   ] [D] [    0] RxSockets: socket fd=7 has been registered.
2023-08-30T18:56:13.716425 [COMN   ] [D] [    0] RxSockets: Closing rx socket handler thread
2023-08-30T18:56:13.716842 [COMN   ] [D] [    0] RxSockets: closed.
2023-08-30T18:56:13.716914 [COMN   ] [D] [    0] Socket=7 was closed.
2023-08-30T18:56:13.718102 [COMN   ] [D] [    0] Socket=-1 could not be closed.
2023-08-30T18:56:13.719299 [COMN   ] [D] [    0] Socket=-1 could not be closed.
